City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.2078,-159.775,64.45,100,21,2.3,few clouds
1,Taoudenni,ML,22.6783,-3.9836,99.39,22,35,18.34,scattered clouds
2,Yellowknife,CA,62.456,-114.3525,65.28,68,75,10.36,broken clouds
3,Nanortalik,GL,60.1432,-45.2371,48.51,78,44,16.31,scattered clouds
4,Port Elizabeth,ZA,-33.918,25.5701,59.09,82,20,24.16,few clouds
5,Qaanaaq,GL,77.484,-69.3632,39.74,99,100,7.36,light rain
6,Albany,US,42.6001,-73.9662,73.98,84,98,1.01,overcast clouds
7,Broken Hill,AU,-31.95,141.4333,51.51,37,75,11.5,broken clouds
8,Atuona,PF,-9.8,-139.0333,76.86,78,49,12.15,light rain
9,Evensk,RU,61.95,159.2333,44.01,64,74,9.4,broken clouds
10,Mataura,NZ,-46.1927,168.8643,41.49,94,43,3.56,scattered clouds
11,Aranjuez,ES,40.0311,-3.6025,98.08,14,0,17.34,clear sky
12,Bairiki,KI,1.3292,172.9752,80.6,83,20,5.75,few clouds
13,Vuktyl,RU,63.8567,57.3094,46.98,84,77,2.46,broken clouds
14,Vao,NC,-22.6667,167.4833,70.39,69,23,15.32,few clouds
15,Leningradskiy,RU,69.3833,178.4167,32.52,98,100,17.47,light snow
16,Sambava,MG,-14.2667,50.1667,70.12,86,35,7.18,light rain
17,Rikitea,PF,-23.1203,-134.9692,72.21,79,46,9.98,scattered clouds
18,Cherskiy,RU,68.75,161.3,33.73,85,100,17.25,overcast clouds
19,Mahebourg,MU,-20.4081,57.7,69.26,88,75,18.41,light rain
20,Port Alfred,ZA,-33.5906,26.891,59.52,75,6,19.13,clear sky
21,Punta Arenas,CL,-53.15,-70.9167,46.51,61,75,25.32,broken clouds
22,Bredasdorp,ZA,-34.5322,20.0403,52.92,82,76,5.75,broken clouds
23,Elizabeth City,US,36.2946,-76.2511,91.02,72,1,4.0,clear sky
24,Aracati,BR,-4.5617,-37.7697,88.74,48,18,12.41,few clouds
25,Lavrentiya,RU,65.5833,-171.0,45.7,79,74,10.07,broken clouds
26,Nichinan,JP,31.6,131.3667,75.81,86,27,3.8,scattered clouds
27,Mar Del Plata,AR,-38.0023,-57.5575,59.02,49,0,1.01,clear sky
28,Bathsheba,BB,13.2167,-59.5167,86.61,70,20,16.11,few clouds
29,Dikson,RU,73.5069,80.5464,43.75,81,100,12.19,overcast clouds
30,Vaini,TO,-21.2,-175.2,68.16,88,40,3.44,scattered clouds
31,Vardo,NO,70.3705,31.1107,48.4,81,75,3.44,broken clouds
32,Yulara,AU,-25.2406,130.9889,53.44,62,0,5.75,clear sky
33,Kapaa,US,22.0752,-159.319,80.92,77,75,3.0,broken clouds
34,Aklavik,CA,68.2191,-135.0107,62.6,82,75,4.61,shower rain
35,Mackay,AU,-21.15,149.2,65.05,100,90,0.0,fog
36,Port Augusta,AU,-32.5,137.7667,60.94,37,65,20.58,broken clouds
37,Kruisfontein,ZA,-34.0033,24.7314,56.88,79,16,11.65,few clouds
38,Deer Lake,CA,49.1667,-57.4316,67.86,56,40,14.97,scattered clouds
39,Arman,RU,59.7,150.1667,42.76,69,66,12.97,broken clouds
40,Guerrero Negro,MX,27.9769,-114.0611,79.29,60,0,13.62,clear sky
41,Udayagiri,IN,20.1333,84.3833,70.99,85,100,10.89,overcast clouds
42,Villablino,ES,42.9393,-6.3194,83.39,55,1,6.8,clear sky
43,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,86,20,14.97,few clouds
44,Qiongshan,CN,20.0058,110.3542,80.58,94,0,2.24,clear sky
45,Saint George,US,37.1041,-113.5841,95.38,32,1,4.0,clear sky
46,Hobart,AU,-42.8794,147.3294,44.11,82,92,0.0,overcast clouds
47,Samandag,TR,36.0842,35.9771,86.52,46,0,5.53,clear sky
48,La Romana,DO,18.4273,-68.9728,88.16,62,40,17.27,scattered clouds
49,Isangel,VU,-19.55,169.2667,71.24,81,79,1.72,broken clouds
50,Jamestown,US,42.097,-79.2353,71.71,95,90,1.01,overcast clouds
51,Alexandria,EG,31.2156,29.9553,84.74,65,0,14.97,clear sky
52,Vorukh,TJ,39.8494,70.5838,72.07,54,82,6.71,broken clouds
53,Saint-Philippe,RE,-21.3585,55.7679,69.39,84,54,17.65,light rain
54,Artvin,TR,41.1667,41.8333,69.08,96,60,2.95,broken clouds
55,Barrow,US,71.2906,-156.7887,53.62,94,90,4.61,light rain
56,Salalah,OM,17.0151,54.0924,78.89,89,75,9.22,broken clouds
57,Natal,BR,-5.795,-35.2094,84.85,70,75,14.97,broken clouds
58,Zhigansk,RU,66.7697,123.3711,55.96,55,11,7.14,few clouds
59,Ushuaia,AR,-54.8,-68.3,47.86,34,20,2.3,few clouds
60,Providencia,MX,28.7167,-111.5833,93.25,31,86,7.85,overcast clouds
61,Borazjan,IR,29.2666,51.2159,96.13,21,4,0.47,clear sky
62,Georgetown,MY,5.4112,100.3354,82.33,86,20,1.99,few clouds
63,Tawau,MY,4.2498,117.8871,80.73,94,27,3.42,scattered clouds
64,Santa Cruz,BO,-17.8,-63.1667,67.46,27,40,14.97,scattered clouds
65,Te Anau,NZ,-45.4167,167.7167,43.05,91,94,0.87,heavy intensity rain
66,Mecca,SA,21.4267,39.8261,93.67,35,98,3.56,overcast clouds
67,Tuktoyaktuk,CA,69.4541,-133.0374,59.0,94,90,13.8,light rain
68,Puerto Ayora,EC,-0.7393,-90.3518,76.96,78,59,9.17,broken clouds
69,Malpe,IN,13.35,74.7167,79.9,84,85,11.56,moderate rain
70,Bonavista,CA,48.6499,-53.1147,77.0,72,81,7.52,broken clouds
71,Sibu,MY,2.3,111.8167,77.31,88,40,4.61,scattered clouds
72,Luderitz,NA,-26.6481,15.1594,60.85,50,0,17.94,clear sky
73,Thompson,CA,55.7435,-97.8558,66.36,42,75,5.75,broken clouds
74,Castro,BR,-24.7911,-50.0119,47.93,40,3,6.22,clear sky
75,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,55,75,28.77,broken clouds
76,Dingle,PH,10.9995,122.6711,77.22,91,99,6.6,overcast clouds
77,Ribeira Grande,PT,38.5167,-28.7,79.2,50,20,12.66,few clouds
78,Okhotsk,RU,59.3833,143.3,51.91,70,100,7.63,overcast clouds
79,Hithadhoo,MV,-0.6,73.0833,82.76,71,100,9.19,overcast clouds
80,Hovd,MN,48.0056,91.6419,64.47,42,2,3.18,clear sky
81,Port Blair,IN,11.6667,92.75,82.36,86,92,16.67,overcast clouds
82,Porto Novo,BJ,6.4965,2.6036,80.42,68,39,11.03,scattered clouds
83,Saskylakh,RU,71.9167,114.0833,69.94,60,38,7.78,scattered clouds
84,Ludvika,SE,60.1496,15.1878,62.6,84,55,7.65,broken clouds
85,Hermanus,ZA,-34.4187,19.2345,54.9,83,58,7.0,broken clouds
86,Sangre Grande,TT,10.5835,-61.1177,85.96,90,98,3.27,overcast clouds
87,Port Moresby,PG,-9.4431,147.1797,76.42,94,75,3.44,broken clouds
88,Port Lincoln,AU,-34.7333,135.8667,58.08,58,80,19.08,broken clouds
89,Soyo,AO,-6.1349,12.3689,75.25,84,0,10.2,clear sky
90,Ciudad Bolivar,VE,8.1222,-63.5497,81.9,69,92,6.89,overcast clouds
91,Aktanysh,RU,55.7216,54.0829,67.15,52,93,8.25,light rain
92,Jizan,SA,17.3333,42.6667,92.34,55,45,3.06,scattered clouds
93,Edson,CA,53.5835,-116.4356,71.71,53,1,3.44,clear sky
94,Hasaki,JP,35.7333,140.8333,75.49,92,5,7.29,moderate rain
95,Busselton,AU,-33.65,115.3333,52.09,64,100,28.34,overcast clouds
96,Chuy,UY,-33.6971,-53.4616,49.32,61,28,9.73,scattered clouds
97,Axim,GH,4.8699,-2.2405,78.66,75,90,7.31,overcast clouds
98,Mugur-Aksy,RU,50.35,90.5,50.34,83,84,4.36,broken clouds
99,Mulege,MX,26.8833,-111.9833,96.03,41,1,8.48,clear sky
100,Mossendjo,CG,-2.9506,12.7261,78.91,50,86,2.57,overcast clouds
101,East London,ZA,-33.0153,27.9116,59.94,77,0,12.66,clear sky
102,Nemuro,JP,43.3236,145.575,65.07,99,77,6.02,broken clouds
103,Alofi,NU,-19.0595,-169.9187,69.69,94,67,6.91,broken clouds
104,Wiarton,CA,44.7407,-81.1332,71.96,88,90,3.44,mist
105,Thinadhoo,MV,0.5333,72.9333,81.43,74,100,5.35,overcast clouds
106,Alice Springs,AU,-23.7,133.8833,58.55,51,0,4.61,clear sky
107,Lompoc,US,34.6391,-120.4579,89.13,93,90,5.75,mist
108,Narsaq,GL,60.9167,-46.05,59.22,72,67,6.33,broken clouds
109,Cape Town,ZA,-33.9258,18.4232,57.09,85,75,1.01,broken clouds
110,Bilma,NE,18.6853,12.9164,102.63,17,24,4.68,few clouds
111,Upernavik,GL,72.7868,-56.1549,42.06,97,100,13.53,overcast clouds
112,Bambous Virieux,MU,-20.3428,57.7575,69.22,88,75,18.41,light rain
113,Kisanga,TZ,-7.4362,37.7034,72.07,57,33,3.85,scattered clouds
114,Hilo,US,19.7297,-155.09,74.62,94,90,3.44,light rain
115,Airai,TL,-8.9266,125.4092,57.45,60,7,2.73,clear sky
116,Khatanga,RU,71.9667,102.5,66.24,63,26,8.66,scattered clouds
117,Rovaniemi,FI,66.5,25.7167,58.41,82,75,14.97,broken clouds
118,Lebu,CL,-37.6167,-73.65,56.52,61,0,5.1,clear sky
119,Coquimbo,CL,-29.9533,-71.3436,56.93,67,0,6.91,clear sky
120,Sao Filipe,CV,14.8961,-24.4956,75.83,75,96,10.07,overcast clouds
121,Ahtopol,BG,42.1,27.95,81.07,65,0,9.42,clear sky
122,Santa Maria,BR,-29.6842,-53.8069,51.1,46,20,9.22,few clouds
123,Kodiak,US,57.79,-152.4072,54.91,71,90,3.44,overcast clouds
124,Atar,MR,20.5169,-13.0499,103.03,17,53,11.63,broken clouds
125,Butaritari,KI,3.0707,172.7902,82.78,73,9,10.38,clear sky
126,Meadow Lake,US,34.8014,-106.5436,87.84,35,33,11.01,scattered clouds
127,Qianan,CN,44.9932,124.0581,73.15,87,100,3.89,light rain
128,Maceio,BR,-9.6658,-35.7353,85.44,61,40,4.61,scattered clouds
129,Bayanday,RU,53.0661,105.5139,53.92,98,100,6.71,overcast clouds
130,Iqaluit,CA,63.7506,-68.5145,53.33,58,20,5.75,few clouds
131,Rio Grande,BR,-32.035,-52.0986,53.71,55,11,15.7,few clouds
132,Ilam,NP,26.9167,87.9167,70.9,96,99,3.65,overcast clouds
133,Naze,JP,28.3667,129.4833,77.18,90,4,0.36,clear sky
134,Bengkulu,ID,-3.8004,102.2655,76.17,89,69,5.35,broken clouds
135,Anadyr,RU,64.75,177.4833,39.7,93,90,17.0,shower sleet
136,Bakaly,RU,55.1789,53.8028,68.77,55,100,12.73,light rain
137,San Rafael,AR,-34.6177,-68.3301,61.43,17,0,13.02,clear sky
138,Hirara,JP,24.8,125.2833,82.49,91,85,8.81,overcast clouds
139,Davidesti,RO,45.0167,25.0333,69.19,74,37,3.18,scattered clouds
140,Keita,NE,14.7551,5.7749,86.34,55,99,7.7,overcast clouds
141,Ancud,CL,-41.8697,-73.8203,42.33,75,41,4.05,scattered clouds
142,Arkhangelsk,RU,64.5401,40.5433,55.51,94,75,4.47,light rain
143,Cabo San Lucas,MX,22.8909,-109.9124,99.52,65,20,4.0,few clouds
144,Richards Bay,ZA,-28.783,32.0377,68.41,70,26,15.93,light rain
145,Raymondville,US,26.4815,-97.7831,89.94,43,84,7.52,broken clouds
146,Teya,RU,60.3778,92.6267,51.24,97,100,2.06,overcast clouds
147,Canaries,ES,28.0,-15.5,71.56,61,20,28.77,few clouds
148,Tanete,ID,-3.9443,119.7848,75.78,92,77,5.82,broken clouds
149,San Quintin,MX,30.4833,-115.95,76.73,65,12,12.77,few clouds
150,Cabedelo,BR,-6.9811,-34.8339,84.87,69,34,12.77,scattered clouds
151,Vadso,NO,70.0744,29.7487,49.08,76,75,8.05,broken clouds
152,Agirish,RU,61.9247,63.0231,45.48,89,83,4.59,broken clouds
153,Kaitangata,NZ,-46.2817,169.8464,40.77,89,44,5.32,scattered clouds
154,Bluff,NZ,-46.6,168.3333,41.81,81,86,7.54,overcast clouds
155,Aykhal,RU,66.0,111.5,64.98,50,40,7.49,scattered clouds
156,Labuhan,ID,-6.8844,112.2051,76.71,83,80,5.03,broken clouds
157,Sioux Lookout,CA,50.1001,-91.917,64.78,51,40,4.61,scattered clouds
158,Sao Raimundo Nonato,BR,-9.0153,-42.6994,98.38,18,1,3.15,clear sky
159,Sahuaripa,MX,29.05,-109.2333,86.4,52,56,1.28,broken clouds
160,Bowen,AU,-20.0167,148.2333,64.62,89,4,4.85,clear sky
161,Margate,GB,51.3813,1.3862,69.69,52,41,4.0,scattered clouds
162,Lagos,NG,6.5833,3.75,84.52,79,44,7.45,scattered clouds
163,Bagdarin,RU,54.4333,113.6,53.6,96,16,4.0,few clouds
164,Cascais,PT,38.6979,-9.4215,76.86,61,20,14.0,few clouds
165,Fairbanks,US,64.8378,-147.7164,60.1,89,90,4.61,overcast clouds
166,Chardara,KZ,41.2547,67.9692,80.47,30,29,11.7,scattered clouds
167,Westport,US,41.1415,-73.3579,78.94,78,40,1.99,scattered clouds
168,Carnarvon,AU,-24.8667,113.6333,66.27,77,40,9.22,scattered clouds
169,New Norfolk,AU,-42.7826,147.0587,43.75,78,87,3.38,overcast clouds
170,Pisco,PE,-13.7,-76.2167,64.45,77,75,6.91,mist
171,Lorengau,PG,-2.0226,147.2712,81.07,78,17,3.36,few clouds
172,Artyom,AZ,40.4723,50.333,75.34,67,8,12.41,clear sky
173,Dubbo,AU,-32.25,148.6167,32.13,93,0,4.61,clear sky
174,Glotovka,RU,53.9491,46.7042,62.51,97,93,6.29,overcast clouds
175,Hokitika,NZ,-42.7167,170.9667,50.68,81,96,6.93,moderate rain
176,San Cristobal,VE,7.7669,-72.225,78.98,59,71,9.1,broken clouds
177,Norsup,VU,-16.0667,167.3833,76.3,86,49,4.43,moderate rain
178,Sorong,ID,-0.8833,131.25,80.89,80,87,1.52,overcast clouds
179,Ust-Nera,RU,64.5667,143.2,39.88,81,22,5.23,few clouds
180,Hofn,IS,64.2539,-15.2082,57.22,82,20,5.75,few clouds
181,Kanniyakumari,IN,8.0833,77.5667,80.22,79,87,21.43,overcast clouds
182,Kavieng,PG,-2.5744,150.7967,81.73,75,10,5.1,clear sky
183,Berlevag,NO,70.8578,29.0864,46.35,81,75,3.44,broken clouds
184,Whitianga,NZ,-36.8333,175.7,52.02,91,31,2.59,scattered clouds
185,Srednekolymsk,RU,67.45,153.6833,35.4,86,95,8.46,overcast clouds
186,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,20,0,25.32,clear sky
187,Constitucion,CL,-35.3333,-72.4167,59.61,54,0,4.12,clear sky
188,Snasa,NO,64.2457,12.3778,69.21,81,78,3.22,moderate rain
189,Cidreira,BR,-30.1811,-50.2056,51.53,52,55,17.0,broken clouds
190,Mirnyy,RU,62.5353,113.9611,53.69,60,2,3.83,clear sky
191,Karabuk,TR,41.2049,32.6277,73.72,52,0,2.62,clear sky
192,Avera,US,33.194,-82.5271,94.68,41,9,2.04,clear sky
193,Grand-Lahou,CI,5.1367,-5.0242,77.79,79,93,6.26,overcast clouds
194,Erzin,TR,36.9559,36.2,84.92,47,0,6.22,clear sky
195,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,58.66,15,1,8.57,clear sky
196,Norman Wells,CA,65.282,-126.8329,60.84,88,90,0.0,overcast clouds
197,Gotsu,JP,35.0,132.2167,73.17,83,75,3.65,broken clouds
198,Batagay-Alyta,RU,67.8006,130.4114,45.28,64,87,1.16,overcast clouds
199,Provideniya,RU,64.3833,-173.3,46.36,86,95,6.62,overcast clouds
200,Longyearbyen,SJ,78.2186,15.6401,46.24,66,75,10.36,broken clouds
201,Tual,ID,-5.6667,132.75,80.29,81,99,11.54,overcast clouds
202,Chenghai,CN,23.4632,116.768,78.71,94,20,2.24,few clouds
203,Geraldton,AU,-28.7667,114.6,63.12,82,75,18.41,broken clouds
204,Santa Cruz De La Palma,ES,28.6835,-17.7642,75.34,69,20,14.97,few clouds
205,Khani,GE,41.9563,42.9566,69.37,94,75,3.02,broken clouds
206,Rakiv Lis,UA,51.6217,24.9243,69.53,68,30,6.53,scattered clouds
207,Hambantota,LK,6.1241,81.1185,80.11,83,92,18.45,overcast clouds
208,Ogdensburg,US,44.6942,-75.4863,65.44,88,40,0.0,scattered clouds
209,Tautira,PF,-17.7333,-149.15,75.22,80,45,8.72,light rain
210,Clovis,US,36.8252,-119.7029,102.47,38,20,1.01,smoke
211,Valdemarpils,LV,57.3707,22.5919,65.62,65,41,10.58,scattered clouds
212,Budogoshch,RU,59.2816,32.4707,67.95,76,94,5.41,overcast clouds
213,Gaomi,CN,36.3833,119.7528,76.78,91,92,9.95,overcast clouds
214,Cayenne,GF,4.9333,-52.3333,85.08,76,75,1.99,broken clouds
215,Vila,PT,42.0304,-8.1588,75.74,49,1,6.73,clear sky
216,Brae,GB,60.3964,-1.353,58.91,92,96,11.03,overcast clouds
217,Mayo,US,38.8876,-76.5119,88.45,72,90,8.99,overcast clouds
218,Parrsboro,CA,45.4001,-64.332,77.32,38,13,15.99,few clouds
219,Srandakan,ID,-7.9386,110.2506,75.43,90,62,4.63,broken clouds
220,Portland,US,45.5234,-122.6762,86.61,51,1,4.0,clear sky
221,Gat,IL,31.61,34.7642,84.81,100,0,4.7,clear sky
222,Bethel,US,41.3712,-73.414,77.47,77,75,1.01,broken clouds
223,Noyabrsk,RU,63.1994,75.4507,47.16,82,100,11.95,overcast clouds
224,Vostok,RU,46.4856,135.8833,67.84,93,83,3.02,light rain
225,Korla,CN,41.7597,86.1469,91.27,20,30,21.16,scattered clouds
226,Laguna,US,38.421,-121.4238,99.64,51,1,3.0,clear sky
227,Hengyang,CN,26.8881,112.615,84.22,64,34,2.68,scattered clouds
228,Vestmannaeyjar,IS,63.4427,-20.2734,59.99,77,40,10.36,scattered clouds
229,Codrington,AU,-38.2667,141.9667,49.19,51,17,20.0,few clouds
230,Tamano,JP,34.4833,133.95,80.38,78,7,9.57,clear sky
231,Zapolyarnyy,RU,69.4154,30.8136,47.48,77,100,11.14,overcast clouds
